# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-05-11T12:00,81196.95000000,81458.00000000,80462.97000000,81445.90000000,2668.23418000
2026-05-11T16:00,81445.89000000,82137.26000000,81344.72000000,81961.99000000,2673.46567000
2026-05-11T20:00,81961.99000000,82078.91000000,81596.31000000,81745.65000000,1235.71361000
2026-05-12T00:00,81745.66000000,81788.00000000,80714.28000000,81058.80000000,1860.32116000
2026-05-12T04:00,81058.79000000,81305.24000000,80800.77000000,80865.40000000,1779.90239000
2026-05-12T08:00,80865.40000000,80964.13000000,80496.57000000,80784.87000000,1973.06446000
2026-05-12T12:00,80784.86000000,80999.00000000,80188.65000000,80336.01000000,3205.73752000
2026-05-12T16:00,80336.01000000,80874.42000000,79843.59000000,80834.64000000,2673.67675000
2026-05-12T20:00,80835.30000000,80896.25000000,80439.91000000,80504.47000000,893.55448000
2026-05-13T00:00,80504.47000000,81299.99000000,80412.15000000,81249.99000000,1575.91837000
2026-05-13T04:00,81249.99000000,81281.07000000,80889.12000000,81026.92000000,1495.76347000
2026-05-13T08:00,81026.92000000,81324.64000000,80494.98000000,80501.22000000,1841.28298000
2026-05-13T12:00,80501.22000000,80592.65000000,78807.22000000,78827.21000000,5073.46241000
2026-05-13T16:00,78827.21000000,79800.00000000,78754.65000000,79642.41000000,3344.60077000
2026-05-13T20:00,79642.41000000,79760.00000000,79228.00000000,79313.61000000,1479.02843000
2026-05-14T00:00,79313.61000000,79681.73000000,78922.00000000,79044.85000000,2209.55472000
2026-05-14T04:00,79044.86000000,79998.00000000,78982.06000000,79745.98000000,2068.97946000
2026-05-14T08:00,79745.99000000,79936.98000000,79234.00000000,79258.27000000,1846.46215000
2026-05-14T12:00,79258.27000000,81332.23000000,79230.31000000,81301.23000000,5702.09728000
2026-05-14T16:00,81301.22000000,82048.13000000,81080.25000000,81419.74000000,6279.93607000
2026-05-14T20:00,81419.75000000,81590.19000000,81059.93000000,81089.99000000,1620.83839000
2026-05-15T00:00,81090.00000000,81664.45000000,80750.00000000,81059.15000000,2453.72559000
2026-05-15T04:00,81059.15000000,81100.00000000,80314.00000000,80814.88000000,3091.10140000
2026-05-15T08:00,80814.88000000,80822.95000000,80369.00000000,80628.53000000,1706.25967000
2026-05-15T12:00,80628.52000000,80635.44000000,78659.00000000,79150.27000000,6208.56941000
2026-05-15T16:00,79150.26000000,79561.94000000,79051.00000000,79146.50000000,1959.36078000
2026-05-15T20:00,79146.50000000,79217.07000000,78911.42000000,79113.21000000,1932.25394000
2026-05-16T00:00,79113.20000000,79227.77000000,79010.00000000,79083.18000000,1248.18280000
2026-05-16T04:00,79083.19000000,79129.71000000,78066.00000000,78369.77000000,2404.82958000
2026-05-16T08:00,78369.78000000,78530.52000000,77640.00000000,78081.71000000,3846.10003000
2026-05-16T12:00,78080.46000000,78346.00000000,77833.40000000,78238.67000000,2684.35726000
2026-05-16T16:00,78238.68000000,78364.65000000,78119.72000000,78259.66000000,1260.04581000
2026-05-16T20:00,78259.67000000,78318.94000000,78125.32000000,78148.05000000,689.34644000
2026-05-17T00:00,78148.05000000,78243.19000000,77721.19000000,78028.88000000,1284.92928000
2026-05-17T04:00,78028.88000000,78323.96000000,78003.35000000,78180.01000000,952.09545000
2026-05-17T08:00,78180.00000000,78599.99000000,78033.01000000,78415.99000000,1136.18338000
2026-05-17T12:00,78415.99000000,78550.00000000,77850.00000000,78051.41000000,1115.91599000
2026-05-17T16:00,78051.42000000,78468.46000000,77856.69000000,78415.30000000,837.07576000
2026-05-17T20:00,78415.29000000,78485.36000000,76735.16000000,77457.67000000,3116.50234000
